label,roll,pitch,yaw,gx,gy,gz,ax,ay,az,flex0,flex1,flex2,flex3,flex4,index_inside,middle_fingerprint,middle_inside_to_ring,ring_tape
D,-64.66844304349974,78.07595452061857,-26.757500179591712,-0.3487529461427513,1.8291061314947048,0.3529391071868304,-0.96240234375,-0.11669921875,-0.11376953125,743,721,1022,1021,1017,0,0,0,0
D,-64.79581148382714,78.10830992287687,-26.88777899387321,0.4527737714145006,1.096281704013789,0.9330917789425556,-0.956787109375,-0.119140625,-0.117431640625,740,721,1021,1020,1023,0,0,0,0
D,-64.90112982324753,78.14657495553827,-26.990559797228133,-0.0739437858374078,0.8901748337847818,1.3911070461181283,-0.955322265625,-0.1015625,-0.095947265625,741,719,1023,1023,1023,0,0,0,0
D,-65.05895312738566,78.1750417932879,-27.130505861844203,-1.6846308087381712,1.149716818517606,0.2002673514616395,-0.958984375,-0.099853515625,-0.1025390625,745,722,1023,1023,1023,0,0,0,0
D,-65.20925382044199,78.20575058181407,-27.28303725020024,0.3306363668343479,1.4245259788229496,0.543778801843319,-0.9541015625,-0.114013671875,-0.110595703125,742,721,1023,1023,1023,0,0,0,0
D,-65.38588499375832,78.24396156031175,-27.44996364555809,-0.921272030112217,2.035213001723713,0.8720230766524794,-0.962646484375,-0.097412109375,-0.10791015625,740,720,1023,1023,1023,0,0,0,0
D,-65.47573320199193,78.26945432591553,-27.557675231347776,1.979491328666409,0.3710908643191328,0.3758398705456092,-0.965576171875,-0.10791015625,-0.11083984375,742,721,1023,1022,1023,0,0,0,0
D,-65.60583717292606,78.28871272472686,-27.66707818008015,-1.8678369156084,0.1191824673725679,-0.0898089844162228,-0.951416015625,-0.113037109375,-0.11328125,739,719,1023,1021,1023,0,0,0,0
D,-65.66861454256848,78.31138986420179,-27.74493817067668,1.7581172828648823,-0.2930312730854473,0.3376719316143113,-0.954833984375,-0.107421875,-0.0986328125,740,721,1022,1021,1023,0,0,0,0
D,-65.79261552192008,78.33401975366208,-27.858024209346645,-0.9136384423259574,0.3481901009603543,0.0552291835227083,-0.9560546875,-0.10791015625,-0.099365234375,741,721,1023,1023,1023,0,0,0,0
D,-65.8898167183309,78.35812976561286,-27.95012603916776,-0.2800506560664154,0.0046786505786748,0.4369085728356854,-0.961669921875,-0.11279296875,-0.101318359375,740,721,1023,1023,1023,0,0,0,0
D,-65.99754999411378,78.38946762454486,-28.06250836683951,0.6436134660709891,0.668800787983255,0.8185879621486625,-0.9560546875,-0.09423828125,-0.1240234375,739,727,1023,1023,1023,0,0,0,0
D,-66.14473398884546,78.4202290583214,-28.202036688135586,-0.6388292820206138,1.1420832307313469,0.6048475041333954,-0.953857421875,-0.106201171875,-0.10205078125,739,718,1023,1023,1022,0,0,0,0
D,-66.27134936422466,78.4470978114971,-28.32572484088215,-0.1273789003412245,0.668800787983255,0.4140078094769068,-0.96044921875,-0.102783203125,-0.118896484375,739,721,1021,1023,1021,0,0,0,0
D,-66.4297455579951,78.47482594720304,-28.47727213633896,-0.5624934041580185,1.187884757448904,0.3911070461181281,-0.94873046875,-0.109619140625,-0.11865234375,738,721,1023,1021,1023,0,0,0,0
D,-66.57808115334473,78.50657367655695,-28.63223314225734,0.7733844584374013,1.4168923910366902,0.7040841453547695,-0.95849609375,-0.112548828125,-0.105224609375,741,722,1021,1020,1023,0,0,0,0
D,-66.64747472660609,78.51865819707166,-28.698579821454835,-0.0128750835473314,-0.9953213494213252,-0.3646181447215664,-0.96435546875,-0.115234375,-0.105224609375,742,721,1022,1023,1019,0,0,0,0
D,-66.75399922305984,78.53364801393808,-28.80604589310052,0.3077356034755693,-0.1403595173602564,-0.3951524958666046,-0.95361328125,-0.11279296875,-0.112548828125,740,722,1022,1021,1023,0,0,0,0
D,-66.86339295420225,78.57107303328738,-28.908687690895057,-0.4556231751503848,0.6611672001969955,1.6811833819959907,-0.9560546875,-0.114013671875,-0.103515625,741,722,1021,1022,1023,0,0,0,0
D,-67.00504074462638,78.59155942632682,-29.0409119550667,-0.7838674499595453,0.5313962078305833,-0.120343335561261,-0.95556640625,-0.113037109375,-0.100830078125,741,722,1023,1023,1022,0,0,0,0
D,-67.10896148907042,78.62191982806398,-29.15451533682985,1.1703310233228974,0.5619305589756214,0.9865268934463725,-0.958740234375,-0.115478515625,-0.1044921875,740,724,1023,1021,1021,0,0,0,0
D,-67.2755834915288,78.65636641319135,-29.313124657413816,-0.6998979843106903,1.5466633834031025,0.910191015583777,-0.956298828125,-0.10693359375,-0.103271484375,741,725,1023,1023,1023,0,0,0,0
D,-67.4215674782935,78.68869391426138,-29.45950263710716,0.177964611109157,1.2107855208076823,0.925458191156296,-0.939453125,-0.110595703125,-0.10595703125,739,725,1023,1023,1023,0,0,0,0
D,-67.55373051922237,78.72059532262065,-29.58687806740804,-0.3105850072114536,0.852006894853484,0.9636261300875938,-0.963623046875,-0.1083984375,-0.10693359375,741,724,1023,1022,1023,0,0,0,0
D,-67.6445972243362,78.7503076360138,-29.679750453785022,0.4527737714145006,0.1115488795863084,1.1850001758891209,-0.93798828125,-0.11572265625,-0.105712890625,740,723,1023,1021,1018,0,0,0,0
D,-67.77014224351521,78.77372263515974,-29.79907975665497,-0.4403559995778658,0.3710908643191328,0.2155345270341586,-0.95458984375,-0.103271484375,-0.1083984375,745,722,1022,1023,1021,0,0,0,0
D,-67.93772548186551,78.80116232508084,-29.96288272112573,-0.2800506560664154,1.317655749815316,0.2842368171104945,-0.955078125,-0.10595703125,-0.103759765625,739,725,1023,1023,1021,0,0,0,0
D,-68.07842311600393,78.82565746721089,-30.103550197668834,0.1474302599641189,0.768037429204629,0.2537024659654563,-0.9560546875,-0.108642578125,-0.108642578125,739,724,1021,1022,1023,0,0,0,0
D,-68.2121392794427,78.84970796150488,-30.23194721827742,-0.3487529461427513,0.5084954444718046,0.3911070461181281,-0.944091796875,-0.111572265625,-0.111083984375,740,725,1023,1023,1023,0,0,0,0
D,-68.3682340483433,78.87423451060128,-30.373282264960288,-1.3258521827839729,0.768037429204629,0.2689696415379754,-0.9609375,-0.110107421875,-0.105712890625,739,723,1023,1023,1018,0,0,0,0
D,-68.49541055287115,78.89687047991785,-30.50410011657853,0.5367432370633556,0.5008618566855452,0.1926337636753801,-0.9599609375,-0.111572265625,-0.10400390625,740,725,1023,1021,1023,0,0,0,0
